,BACC,Sensitivity,Specificity,MCC,AUC,Precision,F1 Score,Fold,Accuracy
yes_pred_svc_fold2,0.528,0.556,0.5,0.055,0.528,0.625,0.588,2.0,
yes_pred_svc_fold3,0.583,1.0,0.167,0.327,0.583,0.643,0.783,3.0,
yes_pred_svc_fold4,0.556,0.778,0.333,0.123,0.556,0.636,0.7,4.0,
yes_pred_svc_fold5,0.667,1.0,0.333,0.48,0.667,0.692,0.818,5.0,
yke_pred_svc_fold1,0.5,1.0,0.0,0.0,0.5,0.6,0.75,1.0,
yke_pred_svc_fold2,0.528,0.889,0.167,0.08,0.528,0.615,0.727,2.0,
yke_pred_svc_fold3,0.5,1.0,0.0,0.0,0.5,0.6,0.75,3.0,
yke_pred_svc_fold4,0.667,1.0,0.333,0.48,0.667,0.692,0.818,4.0,
yke_pred_svc_fold5,0.583,1.0,0.167,0.327,0.583,0.643,0.783,5.0,
ykc_pred_svc_fold1,0.5,1.0,0.0,0.0,0.5,0.6,0.75,1.0,
ykc_pred_svc_fold2,0.5,1.0,0.0,0.0,0.5,0.6,0.75,2.0,
ykc_pred_svc_fold3,0.5,1.0,0.0,0.0,0.5,0.6,0.75,3.0,
ykc_pred_svc_fold4,0.5,1.0,0.0,0.0,0.5,0.6,0.75,4.0,
ykc_pred_svc_fold5,0.5,1.0,0.0,0.0,0.5,0.6,0.75,5.0,
yma_pred_svc_fold1,0.583,1.0,0.167,0.327,0.583,0.643,0.783,1.0,
yma_pred_svc_fold2,0.5,0.667,0.333,0.0,0.5,0.6,0.632,2.0,
yma_pred_svc_fold3,0.583,1.0,0.167,0.327,0.583,0.643,0.783,3.0,
yma_pred_svc_fold4,0.417,0.667,0.167,-0.185,0.417,0.545,0.6,4.0,
yma_pred_svc_fold5,0.583,1.0,0.167,0.327,0.583,0.643,0.783,5.0,
ypc_pred_svc_fold1,0.583,1.0,0.167,0.327,0.583,0.643,0.783,1.0,
ypc_pred_svc_fold2,0.583,0.667,0.5,0.167,0.583,0.667,0.667,2.0,
ypc_pred_svc_fold3,0.5,1.0,0.0,0.0,0.5,0.6,0.75,3.0,
ypc_pred_svc_fold4,0.694,0.556,0.833,0.389,0.694,0.833,0.667,4.0,
ypc_pred_svc_fold5,0.667,1.0,0.333,0.48,0.667,0.692,0.818,5.0,
yss_pred_svc_fold1,0.583,1.0,0.167,0.327,0.583,0.643,0.783,1.0,
yss_pred_svc_fold2,0.5,0.667,0.333,0.0,0.5,0.6,0.632,2.0,
yss_pred_svc_fold3,0.583,1.0,0.167,0.327,0.583,0.643,0.783,3.0,
yss_pred_svc_fold4,0.611,0.889,0.333,0.272,0.611,0.667,0.762,4.0,
yss_pred_svc_fold5,0.611,0.889,0.333,0.272,0.611,0.667,0.762,5.0,
ysc_pred_svc_fold1,0.5,1.0,0.0,0.0,0.5,0.6,0.75,1.0,
ysc_pred_svc_fold2,0.5,1.0,0.0,0.0,0.5,0.6,0.75,2.0,
ysc_pred_svc_fold3,0.5,1.0,0.0,0.0,0.5,0.6,0.75,3.0,
ysc_pred_svc_fold4,0.5,1.0,0.0,0.0,0.5,0.6,0.75,4.0,
ysc_pred_svc_fold5,0.5,1.0,0.0,0.0,0.5,0.6,0.75,5.0,
ycj_pred_svc_fold1,0.5,1.0,0.0,0.0,0.5,0.6,0.75,1.0,
ycj_pred_svc_fold2,0.5,1.0,0.0,0.0,0.5,0.6,0.75,2.0,
ycj_pred_svc_fold3,0.5,1.0,0.0,0.0,0.5,0.6,0.75,3.0,
ycj_pred_svc_fold4,0.5,1.0,0.0,0.0,0.5,0.6,0.75,4.0,
ycj_pred_svc_fold5,0.5,1.0,0.0,0.0,0.5,0.6,0.75,5.0,
yat_pred_xgb_fold1,0.5,0.667,0.333,0.0,0.5,0.6,0.632,1.0,
yat_pred_xgb_fold2,0.306,0.444,0.167,-0.389,0.306,0.444,0.444,2.0,
