Name,RF_AP2DC,SVM_AP2DC,XGB_AP2DC,RF_AD2D,SVM_AD2D,XGB_AD2D,RF_EState,SVM_EState,XGB_EState,RF_CDKExt,SVM_CDKExt,XGB_CDKExt,RF_CDK,SVM_CDK,XGB_CDK,RF_CDKGraph,SVM_CDKGraph,XGB_CDKGraph,RF_KRFPC,SVM_KRFPC,XGB_KRFPC,RF_KRFP,SVM_KRFP,XGB_KRFP,RF_MACCS,SVM_MACCS,XGB_MACCS,RF_PubChem,SVM_PubChem,XGB_PubChem,RF_SubFPC,SVM_SubFPC,XGB_SubFPC,RF_SubFP,SVM_SubFP,XGB_SubFP,RF_Combined,SVM_Combined,XGB_Combined
Palmitoleic acid,0.6734784031312597,0.5692424411005013,0.9644891619682312,0.6546750966557778,0.4841175109850441,0.662967324256897,0.7665664696967431,0.6750206868369636,0.933431088924408,0.5675464627536649,0.6306156134698732,0.9573327302932739,0.5068187967442654,0.5956458490194981,0.28886911273002625,0.6176699278194638,0.6304303981603199,0.7695111632347107,0.6240245882300064,0.609822250059322,0.7786203026771545,0.5515820192941627,0.6187470215860017,0.8846595287322998,0.5427884822345537,0.5,0.9061325192451477,0.6121925173150039,0.5643018695969712,0.42673107981681824,0.6085915867144397,0.5763380815963506,0.3081989288330078,0.6019953230164492,0.5549189381303951,0.8943836688995361,0.5361375764026208,0.5966175240847494,0.9486165642738342
Oleic acid,0.6719431438752479,0.568975677907122,0.5376065373420715,0.6178446821560926,0.6704689176822747,0.7529720664024353,0.6852089631870035,0.7480787087583642,0.469949334859848,0.6184262461421226,0.6857655900806375,0.9573327302932739,0.5068187967442654,0.6819796373548074,0.28886911273002625,0.6176699278194638,0.606714844832252,0.4160335659980774,0.6024794985916271,0.609822250059322,0.912726104259491,0.5515820192941627,0.6172421269400191,0.6126799583435059,0.5926528545560718,0.5,0.596434473991394,0.5639219512575334,0.5520028317439286,0.9207902550697327,0.5771670933362997,0.521715017860512,0.3081989288330078,0.5961294228922226,0.6115661944689156,0.964070200920105,0.5361375764026208,0.5967198339679859,0.9486165642738342
10-nitrooleic acid,0.6785383139728265,0.5730781971933038,0.9085085988044739,0.5525378509247583,0.5,0.9362302422523499,0.7665664696967431,0.7175390365092319,0.933431088924408,0.5998375030431926,0.6740642284556616,0.6018061637878418,0.5957645967451133,0.6874883861316392,0.975407063961029,0.6142938653826334,0.7185390782116091,0.7695111632347107,0.6320355946240191,0.6253788605106642,0.6914336681365967,0.5997690301365219,0.6079834782989113,0.8417202830314636,0.6426917217562298,0.6855317884659177,0.9889709949493408,0.5975788542658491,0.6453149194474002,0.9777321219444275,0.6679014067624931,0.6025769765334453,0.836356520652771,0.6358759097214195,0.6774586711955808,0.5259078145027161,0.6067758054441004,0.8525020439013448,0.954048216342926
LPS,0.7090751271649072,0.541660775166049,0.8775783181190491,0.49288587516684607,0.5954224778185786,0.18882891535758972,0.6195136655624085,0.5660343226175549,0.6406380534172058,0.6340233538800213,0.6267174490811674,0.15460732579231262,0.6067196538143382,0.6382709291906815,0.9881505966186523,0.43025568773718126,0.5169489247990869,0.6637973785400391,0.5441568766615555,0.5556769122164241,0.16496574878692627,0.6220616214228954,0.6478323806325432,0.938969075679779,0.535256925548622,0.6172430418602078,0.6615710258483887,0.6428072879509492,0.6117727987293619,0.2046116143465042,0.5713979771975161,0.5313751605606932,0.9144375920295715,0.5787326737679094,0.5616502120313206,0.6096633076667786,0.6474607246835049,0.5728881181851061,0.09142673015594482
Diethylnitrosamine,0.6945315702761556,0.6333068021066045,0.8097851276397705,0.4842245469398826,0.5567089452327769,0.8918609023094177,0.6390835101266531,0.592483620436486,0.9045349359512329,0.5488018724448702,0.5246679346716904,0.8199902176856995,0.4698303100822027,0.6269764565359509,0.9595732688903809,0.6480986188929486,0.7469873193875997,0.9946398138999939,0.6237782596581112,0.6085120864158262,0.7040172219276428,0.5789903684779669,0.6015386621673301,0.41263049840927124,0.5161394216094684,0.6023337409775891,0.21965239942073822,0.5112159637140413,0.6051174714542289,0.9704623818397522,0.5062577628314295,0.5970854469559529,0.274842232465744,0.5595259329281163,0.7166289669078897,0.7025115489959717,0.4771296558531779,0.60150260790878,0.15163050591945648
Carbon tetrachloride,0.4365332211834587,0.5980605419940737,0.6961134076118469,0.5519744570708388,0.45791564679887853,0.0827883780002594,0.2222648460277875,0.5583244442306439,0.07073112577199936,0.4936680961880988,0.4781610342585866,0.506670355796814,0.53566951522958,0.5354537946249373,0.7714340090751648,0.5855961766364396,0.6306308744973435,0.5849925875663757,0.5774243452249987,0.4694256482778573,0.19786283373832703,0.579183438815234,0.5634802468124733,0.1817903369665146,0.46501206069394496,0.6026262956187513,0.48893335461616516,0.5134433725416909,0.47102616180087886,0.6815658807754517,0.5553230426506164,0.6581729420296814,0.38641950488090515,0.43977831156368224,0.42761543709904326,0.6082977056503296,0.5133404832190339,0.5838827662597132,0.814518928527832
TCDD,0.45376914563371235,0.569007182544207,0.41972213983535767,0.4388426034872947,0.6447853618867486,0.3089030683040619,0.5736314226078324,0.5815835600846552,0.44821619987487793,0.5520291439794777,0.5408288239587979,0.2998034358024597,0.5627136522006855,0.5820189503713027,0.09427370876073837,0.5891096228143557,0.5478022185244187,0.6785898804664612,0.5605503956451667,0.5945188315609421,0.18471577763557434,0.5618171372211497,0.4623731020954047,0.795382559299469,0.5886157997509902,0.5433295571800661,0.4923020303249359,0.6448705630812721,0.5753562298038858,0.6032925248146057,0.5099050539412402,0.600588493117159,0.19610929489135742,0.46616938672399527,0.38791766448395165,0.18793290853500366,0.4631982302397371,0.5911542117342745,0.10262103378772736
PCB 126,0.45228265914722593,0.5960402694624702,0.0860133096575737,0.518293336085852,0.7305154086283205,0.1545564979314804,0.5366365547918579,0.5553673784195685,0.35980138182640076,0.49601419944020575,0.5734788697932636,0.06936575472354889,0.5179778625964713,0.36723275240836906,0.18019188940525055,0.49722512821778797,0.4223159194443792,0.1870618462562561,0.5942160968008359,0.5873990031026213,0.8862597346305847,0.5746361744718187,0.5893614166615927,0.2676699161529541,0.44632920510595087,0.6053230500531982,0.07700769603252411,0.48605895589015014,0.8069367948756572,0.0073293643072247505,0.4145452542036701,0.6768341226307218,0.1982160359621048,0.4398828481385151,0.8525079583026663,0.20941172540187836,0.4500212422480751,0.5844861970260775,0.03710605576634407
Aroclor 1260,0.3603540984676339,0.6167470561572608,0.1010509803891182,0.518293336085852,0.450959579750355,0.11881247162818909,0.5415625184122004,0.5437397233178836,0.22328747808933258,0.4537760074288711,0.4895389066140233,0.06481938064098358,0.5057976349236057,0.7314507209288037,0.13457545638084412,0.4957592439380377,0.5610230717717254,0.0539122149348259,0.5338726409573131,0.5,0.5276875495910645,0.45811682302365064,0.5491232988503139,0.1115829274058342,0.3213304474654391,0.2617347621833735,0.17556920647621155,0.48605895589015014,0.46473529251302237,0.04482143744826317,0.5099050539412402,0.6042198520555772,0.19625349342823029,0.5361736573890408,0.3588139203662174,0.20941172540187836,0.44264266112557876,0.583592504943133,0.10438425093889236
Tetracycline,0.6856139936932696,0.5717660710079164,0.8964422345161438,0.6241787005972325,0.5980702947846381,0.6686106324195862,0.5651330439104721,0.602167579132865,0.29569917917251587,0.6818615585383008,0.629091141950471,0.4943561553955078,0.5907051745666579,0.61120020805832,0.9971421360969543,0.6675287948285755,0.6455441066038435,0.8485631942749023,0.555309280953601,0.6077000391671693,0.4911172091960907,0.5384507503690477,0.554008022669927,0.17443408071994781,0.6296380957139444,0.5989490347459183,0.7089188098907471,0.5519950117539723,0.6384403635827856,0.19051791727542877,0.4541841284846891,0.5604578034865422,0.5696132183074951,0.6280290301723602,0.5657167736926195,0.08502747863531113,0.6740407905643301,0.5979785262245797,0.03988373279571533
Streptozotocin,0.643193837186161,0.5720296211571694,0.14737719297409058,0.612136931623978,0.5573006417183094,0.515512228012085,0.618303220998798,0.5905855949047185,0.02398495376110077,0.4763481130714657,0.596418534431195,0.1739000529050827,0.5964029994614745,0.6476095196363932,0.008417441509664059,0.5190809027289237,0.5270222040139361,0.932888925075531,0.5924387775178872,0.6247422043142087,0.3075767159461975,0.5009426133453537,0.561703160887028,0.2647562026977539,0.5572155956238529,0.5147767049335957,0.515411913394928,0.5280952061619754,0.5288326684169562,0.02066194638609886,0.4922965703274359,0.5260399638622013,0.21120503544807434,0.4709530134873459,0.7006966798247782,0.05908241495490074,0.5535653921962577,0.6023703685102055,0.14934831857681274
